Date,U1
,-2.88533
,-2.93395
,-2.86291
,-2.93379
,-2.82345
,-2.87444
,-2.7993
,-2.85628
,-2.75542
,-2.81288
,-2.72574
,-2.78083
,-2.69212
,-2.76489
,-2.68375
,-2.70033
,-2.60451
,-2.64082
,-2.56268
,-2.63672
,-2.51959
,-2.56995
,-2.47776
,-2.51454
,-2.42551
,-2.51059
,-2.39063
,-2.43846
,-2.35732
,-2.42536
,-2.28566
,-2.41304
,-2.25819
,-2.31234
,-2.22299
,-2.25946
,-2.18495
,-2.23341
,-2.15086
,-2.17201
,-2.09861
,-2.1357
,-2.05362
,-2.10745
,-1.97501
,-2.0181
,-1.90066
,-1.96933
,-1.80485
,-1.82111
,-1.59444
,-1.61211
,-1.47447
,-1.49562
,-1.29168
,-1.37802
,-1.13146
,-1.25159
,-1.02444
,-1.09784
,-0.71774
,-0.73163
,-0.57394
,-0.61672
,-0.4606
,-0.47939
,-0.34837
,-0.37821
,-0.28444
,-0.31365
,-0.23393
,-0.28223
,-0.17474
,-0.22193
,-0.10071
,-0.15501
,-0.09297
,-0.14538
,0.03126
,-0.12675
,0.02889
,-0.03457
,0.06488
,0.02573
,0.17016
,0.04152
,0.25793
,0.12675
,0.26803
,0.23141
,0.31302
,0.26329
,0.43361
,0.31712
,0.46629
,0.3891
,0.54395
,0.44309
,0.61483
,0.53922
,0.66392
,0.61435
,0.74726
,0.70433
,0.81182
,0.79446
,0.87859
,0.84923
,0.934
,0.90843
,0.98293
,0.96162
,1.04197
,1.01955
,1.09784
,1.04939
,1.13604
,1.09548
,1.19145
,1.13494
,1.22207
,1.18735
,1.28174
,1.23581
,1.32483
,1.29042
,1.38024
,1.34299
,1.41386
,1.38624
,1.45853
,1.42886
,1.49515
,1.46484
,1.55119
,1.52609
,1.6017
,1.56319
,1.65032
,1.61859
,1.67889
,1.66658
,1.73493
,1.70225
,1.78054
,1.72498
,1.79191
,1.70683
,1.77881
,1.67036
,1.7384
,1.68094
,1.81827
,1.73429
,1.86199
,1.80485
,1.93303
,1.87194
,2.01369
,1.98417
,2.1125
,2.09119
,2.20279
,2.19869
,2.26798
,2.23389
,2.32797
,2.29419
,2.34801
,2.32986
,2.39332
,2.3698
,2.4271
,2.4132
,2.50097
,2.4724
,2.57153
,2.53933
,2.64524
,2.61667
,2.72559
,2.68597
,2.81335
,2.75826
,2.85503
,2.82346
,2.90806
,2.85518
,2.93869
,2.87633
,2.96552
,2.90522
,2.98667
,2.94816
,3.02219
,2.96852
,3.01666
,2.97704
,3.04097
,2.98557
,3.04397
,3.01066
,3.06591
,3.0255
,3.08122
,3.04145
,3.10222
,3.05581
,3.12874
,3.07207
,3.15084
,3.11327
,3.16015
,3.12353
,3.19282
,3.14578
,3.20735
,3.17167
,3.21887
,3.20072
,3.24491
,3.21382
,3.27522
,3.23292
,3.29164
,3.24665
,3.30426
,3.26685
,3.32037
,3.28027
,3.33426
,3.28374
,3.33568
