Date,U1,U3,Torq1
,0.56645,-1.13991,0.0023
,0.46729,-1.46732,-0.0015
,0.58969,-1.2531,0.0023
,0.46883,-1.62661,-0.0025
,0.59995,-1.30362,0.0023
,0.48426,-1.63592,-0.0015
,0.6314,-1.29178,0.0023
,0.46788,-1.60166,-0.0015
,0.60311,-1.30251,0.0023
,0.48078,-1.48658,-0.0025
,0.57683,-1.32998,0.0023
,0.45241,-1.46559,-0.0015
,0.56234,-1.32509,0.0023
,0.34777,-1.38129,-0.0006
,0.50825,-1.10092,0.0032
,0.2973,-1.24426,-0.0015
,0.42412,-0.89522,0.0023
,0.36225,-1.25531,-0.0015
,0.68151,-0.89365,0.0023
,0.62836,-1.88014,-0.0006
,0.93914,-1.24189,0.0023
,0.88626,-2.19886,-0.0015
,1.05321,-1.80705,0.0023
,0.93851,-2.18892,-0.0015
,1.05361,-2.05237,0.0023
,0.8599,-2.08062,-0.0006
,0.99789,-1.95212,0.0013
,0.87683,-2.05142,-0.0006
,0.95524,-1.90192,0.0023
,0.9271,-2.3411,-0.0015
,1.08951,-1.9979,0.0023
,1.07634,-2.5078,-0.0015
,1.22561,-2.30905,0.0032
,1.17585,-2.51128,-0.0006
,1.25453,-2.40409,0.0023
,1.11891,-2.42319,-0.0006
,1.22667,-2.26959,0.0023
,0.99876,-2.29737,-0.0025
,1.18149,-2.09073,0.0023
,0.92994,-2.1264,-0.0006
,1.04548,-1.95733,0.0023
,0.92485,-2.00485,-0.0015
,0.9975,-1.87351,0.0032
,0.92327,-1.96207,-0.0015
,0.99138,-1.88377,0.0023
,0.89944,-1.93649,-0.0006
,0.99971,-1.8503,0.0023
,0.90591,-1.9196,-0.0015
,0.98416,-1.82788,0.0032
,0.87825,-1.90018,-0.0015
,0.9567,-1.81162,0.0023
,0.87592,-1.88282,-0.0015
,0.94241,-1.80862,0.0023
,0.84961,-1.92734,-0.0015
,0.93357,-1.80405,0.0023
,0.86409,-1.96112,-0.0015
,0.94853,-1.86482,0.0023
,0.87774,-2.02853,-0.0025
,0.96388,-1.86798,0.0023
,0.90189,-2.21339,-0.0006
,0.97907,-1.97849,0.0023
,0.88208,-2.33384,-0.0015
,0.99114,-2.14803,0.0023
,0.85067,-2.27843,-0.0006
,0.95524,-2.06026,0.0023
,0.7886,-2.23643,-0.0015
,0.89834,-2.12846,0.0032
,0.75222,-2.19365,-0.0034
,0.85197,-2.10178,0.0013
,0.74429,-2.20833,-0.0006
,0.85781,-1.9507,0.0032
,0.83856,-1.97406,-0.0015
,0.92655,-1.82252,0.0023
,0.89206,-1.86577,-0.0015
,0.98747,-1.77105,0.0023
,0.885,-1.79899,-0.0015
,0.98416,-1.62582,0.0013
,0.86452,-1.70538,-0.0015
,0.96486,-1.52557,0.0013
,0.76351,-1.54957,-0.0006
,0.95389,-1.30078,0.0023
,0.74034,-1.62392,-0.0015
,0.90986,-1.21427,0.0023
,0.76615,-1.61019,-0.0015
,0.97134,-1.16864,0.0023
,0.7029,-1.61035,-0.0025
,0.8906,-1.08071,0.0013
,0.5979,-1.36503,-0.0015
,0.85387,-0.87265,0.0042
,0.57541,-1.27441,-0.0025
,0.81382,-0.82071,0.0023
,0.56053,-1.1928,-0.0015
,0.71584,-0.89175,0.0023
,0.5949,-1.1647,-0.0015
,0.73813,-0.8466,0.0023
,0.60508,-1.30993,-0.0015
,0.84815,-0.8545,0.0023
,0.61546,-1.55478,-0.0015
,0.82009,-1.03051,0.0023
,0.61337,-1.55967,-0.0015
,0.88488,-1.00699,0.0032
,0.61597,-1.48342,-0.0015
,0.89305,-0.86349,0.0023
,0.5668,-1.43938,-0.0015
,0.84716,-0.8496,0.0023
,0.57604,-1.41097,-0.0006
,0.8197,-0.89017,0.0032
,0.52999,-1.40086,-0.0015
,0.83773,-0.85955,0.0032
,0.5028,-1.33519,-0.0015
,0.70696,-0.79198,0.0032
,0.4371,-1.18838,-0.0006
,0.64979,-0.78567,0.0032
,0.39003,-1.04046,-0.0006
,0.60946,-0.74083,0.0023
,0.36951,-0.94969,-0.0015
,0.49487,-0.65874,0.0023
,0.28211,-0.86444,-0.0006
,0.43517,-0.6668,0.0023
,0.26254,-0.84755,-0.0006
,0.38308,-0.6308,0.0023
,0.24952,-0.79261,-0.0015
,0.34935,-0.61959,0.0023
,0.22237,-0.79987,-0.0015
,0.32666,-0.61881,0.0023
,0.21337,-0.79261,-0.0015
,0.31616,-0.65811,0.0023
,0.2097,-0.82134,-0.0015
,0.29146,-0.63033,0.0032
,0.2007,-0.75283,-0.0015
,0.2853,-0.60444,0.0013
,0.22742,-0.67927,-0.0015
,0.32026,-0.47262,0.0023
,0.2357,-0.6207,-0.0025
,0.30239,-0.48967,0.0013
,0.23306,-0.59734,-0.0015
,0.32796,-0.43474,0.0013
,0.20556,-0.55471,-0.0015
,0.31419,-0.42826,0.0032
,0.21365,-0.54193,-0.0006
,0.30634,-0.38548,0.0023
,0.20145,-0.51193,-0.0015
,0.31296,-0.3075,0.0032
,0.17316,-0.49283,-0.0015
,0.29091,-0.30245,0.0023
,0.16247,-0.47531,-0.0015
,0.26285,-0.25682,0.0032
,0.09574,-0.43284,-0.0015
,0.27422,-0.21625,0.0023
,0.0843,-0.39685,-0.0025
,0.22466,-0.16905,0.0013
,0.05396,-0.37159,-0.0006
,0.19076,-0.15832,0.0023
,0.00826,-0.34665,-0.0015
,0.14353,-0.12138,0.0032
,-0.01131,-0.29503,-0.0015
,0.12005,-0.06486,0.0013
,-0.02165,-0.33591,-0.0015
,0.08971,-0.07418,0.0023
,-0.07342,-0.3105,-0.0006
,0.05597,-0.05602,0.0042
,-0.09023,-0.24435,-0.0015
,0.00085,-0.08428,0.0032
,-0.15561,-0.26045,-0.0006
,-0.04741,-0.06076,0.0032
,-0.41477,-0.19541,-0.0015
