Date,U1,U3,Speed1
,-0.72559,0.78823,0
,-0.90331,0.64016,0
,-0.79287,0.79976,0
,-0.9378,0.74829,0
,-0.83694,0.87853,0
,-0.96266,0.76313,0
,-0.8375,0.89242,0
,-0.94853,0.75524,0
,-0.8356,0.86369,0
,-0.90339,0.72651,0
,-0.8113,0.84317,0
,-0.86318,0.70899,0
,-0.77965,0.79992,0
,-0.88347,0.72761,0
,-0.78762,0.85075,0
,-0.90268,0.78666,0
,-0.80992,0.90142,0
,-0.92628,0.80402,0
,-0.81836,0.9,0
,-0.91164,0.79628,0
,-0.81508,0.89653,0
,-0.90363,0.80876,0
,-0.82152,0.89179,0
,-0.91093,0.8026,0
,-0.81773,0.88232,0
,-0.90087,0.6872,0
,-0.76781,0.85469,0
,-0.84121,0.67299,0
,-0.47041,0.92163,0
,-0.84969,0.45483,0
,-0.61696,0.85296,0
,-0.96822,0.83354,0
,-0.7192,1.52262,0
,-1.07709,1.50494,0
,-0.92884,1.93464,0
,-1.09465,1.89154,0
,-0.99533,1.99163,0
,-1.03357,1.81435,0
,-0.94668,1.97774,0
,-1.01684,1.77409,0
,-0.91586,1.88681,0
,-1.1261,1.85129,0
,-0.9668,2.16875,0
,-1.27462,2.1536,0
,-1.08668,2.46096,0
,-1.32947,2.41139,0
,-1.21938,2.51574,0
,-1.32229,2.26363,0
,-1.2178,2.46143,0
,-1.25655,2.13844,0
,-1.136,2.29441,0
,-1.16694,2.02336,0
,-1.02733,2.16386,0
,-1.08573,1.89596,0
,-0.99371,2.08556,0
,-1.04505,1.82698,0
,-0.96665,1.9329,0
,-1.03057,1.77267,0
,-0.95382,1.87639,0
,-1.02414,1.75499,0
,-0.9479,1.83171,0
,-1.01885,1.75468,0
,-0.93658,1.8325,0
,-1.01033,1.75515,0
,-0.92991,1.87576,0
,-1.0194,1.82919,0
,-0.9425,1.90449,0
,-1.01277,1.82603,0
,-0.92387,1.90196,0
,-1.00508,1.79888,0
,-0.93701,1.87244,0
,-1.03491,1.81087,0
,-0.93224,2.02731,0
,-1.12334,1.98326,0
,-0.98724,2.19322,0
,-1.20139,1.89249,0
,-1.09497,2.16102,0
,-1.2646,1.61149,0
,-1.06068,1.92422,0
,-1.27636,1.54866,0
,-1.08447,1.83882,0
,-1.24858,1.46863,0
,-1.10566,1.70305,0
,-1.15565,1.51883,0
,-1.00954,1.73778,0
,-1.09619,1.61323,0
,-0.88512,1.97758,0
,-1.01676,1.80424,0
,-0.82325,2.13355,0
,-0.90655,1.95279,0
,-0.78312,2.1506,0
,-0.83983,1.76588,0
,-0.68148,2.08698,0
,-0.81299,1.69311,0
,-0.61242,2.01499,0
,-0.76904,1.83645,0
,-0.52013,2.239,0
,-0.73688,1.704,0
