Date,U1,U2
,5.3154,0.89
,4.4566,-1.17
,5.1112,0.91
,4.0388,-1.03
,4.9284,1.07
,3.9759,-0.95
,4.5868,0.94
,3.9175,-0.98
,4.7221,0.83
,4.2869,-1.06
,4.9933,0.86
,4.7042,-0.98
,5.2378,0.86
,4.9718,-0.77
,5.4051,1.02
,4.8876,-0.98
,5.3577,0.91
,4.8221,-0.88
,5.2951,1.07
,4.7308,-0.98
,5.1191,0.91
,4.6729,-1.14
,5.1496,0.91
,4.8497,-0.88
,5.3067,1.23
,4.9831,-1.01
,5.4501,0.81
,4.9973,-1.03
,5.4164,1.04
,4.9539,-1.01
,5.3622,1.02
,4.9662,-0.9
,5.4401,0.78
,4.5787,-1.03
,5.403,1.1
,4.1854,-1.03
,4.8581,0.83
,4.666,-0.98
,5.4746,0.91
,5.4372,-1.03
,6.5146,0.83
,6.3473,-1.06
,7.0161,0.91
,6.6951,-1.01
,7.0808,1.02
,6.7006,-0.88
,7.1153,0.99
,6.644,-1.19
,7.5723,0.78
,7.3642,-0.95
,8.3321,1.04
,8.1129,-0.95
,8.8915,0.86
,8.5252,-0.88
,8.9772,0.89
,8.2582,-1.17
,8.7602,1.12
,7.7714,-1.01
,8.456,0.86
,7.3894,-0.88
,7.8467,0.81
,7.1652,-0.82
,7.5867,0.96
,7.0619,-0.98
,7.4847,1.02
,6.9848,-0.95
,7.5078,1.02
,6.9187,-1.03
,7.2834,0.86
,6.8348,-0.9
,7.3023,0.99
,6.9616,-0.98
,7.3592,0.91
,6.9703,-1.14
,7.4031,0.83
,6.9164,-1.03
,7.3344,0.86
,6.9424,-0.88
,7.3513,1.04
,6.9427,-0.95
,7.3757,0.81
,7.1721,-1.01
,7.7514,1.02
,7.557,-0.93
,7.9572,0.91
,7.516,-0.85
,7.9396,0.83
,7.546,-0.9
,7.8856,1.04
,7.3844,-0.93
,7.8564,1.02
,7.2347,-1.03
,7.7843,0.96
,7.0926,-1.27
,7.5396,0.94
,6.8658,-1.09
,7.3936,1.02
,6.693,-0.98
,7.1605,0.83
,6.4438,-1.03
,6.9035,0.99
,6.2091,-1.06
,6.5856,0.89
,5.9708,-1.09
,6.5796,0.99
,5.4114,-0.93
,6.0886,0.83
,5.0507,-1.11
,5.5743,1.04
,4.62,-0.9
,5.248,1.15
,4.6981,-0.98
,5.2604,0.89
,4.9018,-0.93
,5.6214,0.86
,5.1907,-0.9
,5.7337,0.89
,5.1181,-0.88
,5.6674,0.89
,4.991,-1.01
,5.4872,0.94
,4.7831,-0.93
,5.2809,0.91
,4.3914,-1.14
,5.0507,0.89
,4.2532,-0.93
,4.6642,1.07
,4.2574,-1.22
,4.5177,0.89
,3.7591,-1.09
,4.4214,1.23
,3.5,-0.85
,4.0643,0.89
,3.3426,-0.98
,3.7362,0.96
,3.0616,-0.95
,3.515,0.99
,2.909,-0.82
,3.3279,1.04
,2.8101,-1.06
,3.1648,0.91
,2.7457,-0.85
,3.1732,1.04
,2.7804,-0.93
,3.1743,1.12
,2.7641,-0.88
,3.1998,0.86
,2.6862,-1.19
,3.0948,0.96
,2.5618,-0.82
,3.0424,0.86
,2.3365,-0.98
,2.8864,0.86
,2.2502,-1.19
,2.6465,0.94
,1.9958,-1.01
,2.4241,0.86
,1.8109,-1.11
,2.2434,0.94
,1.7601,-0.95
,2.1421,0.99
,1.5854,-1.11
,1.9869,0.96
,1.4817,-1.03
,1.9177,1.07
,1.3354,-0.88
,1.8038,0.89
,1.171,-0.93
,1.573,0.94
,0.8697,-0.9
,1.3881,0.94
,0.7513,-0.95
,1.1905,0.89
,0.6672,-0.9
,0.9818,1.04
,0.4532,-0.93
,0.8584,0.89
,0.3249,-1.17
,0.7634,0.86
,0.2178,-0.82
,0.5998,1.18
,0.0754,-0.93
,0.428,0.96
,-0.1953,-1.17
,0.4125,0.91
,-0.988,-1.35
,0.0397,0.89
,-1.8736,-0.88
,-0.8688,1.07
,-2.5032,-0.98
,-1.661,0.91
,-2.8989,-0.93
,-2.1751,0.91
,-3.3967,-0.93
,-2.644,0.96
,-4.0211,-1.38
,-3.036,0.86
,-4.3765,-0.82
,-3.6538,0.83
,-4.392,-0.88
,-3.6364,1.07
,-4.4531,-1.03
,-3.4543,1.02
,-3.9845,-1.01
,-3.3541,0.99
,-3.7772,-0.9
,-3.1912,0.96
,-3.9737,-0.9
,-3.2641,0.89
,-4.3889,-0.98
,-3.5391,1.04
,-4.4694,-0.88
,-3.9116,0.86
,-4.5817,-0.98
,-3.9927,1.15
,-4.5373,-0.9
,-3.905,1.15
,-4.4339,-1.14
,-3.714,0.94
,-4.315,-0.8
,-3.914,1.18
,-4.4207,-0.93
,-4.0045,0.89
,-4.5125,-1.03
,-3.92,0.96
,-4.5636,-0.95
,-3.8966,0.81
,-4.5073,-1.03
,-3.9971,1.07
,-4.4331,-1.09
,-4.0179,0.94
,-4.4447,-0.88
,-3.9877,0.91
,-4.4012,-0.77
,-3.628,0.86
,-3.905,-1.03
,-3.3349,0.89
,-4.7822,-1.22
,-3.4741,0.86
,-6.037,-0.88
,-4.5799,0.99
,-6.7113,-1.19
,-5.9146,0.86
,-6.7955,-1.17
,-6.3232,0.89
,-6.8794,-0.95
,-6.4211,0.96
,-7.2262,-0.98
,-6.6534,0.86
,-8.1991,-1.01
,-7.2114,1.02
,-8.8029,-1.38
,-8.0689,0.91
,-9.0245,-0.98
,-8.5014,0.96
,-8.7203,-0.98
,-8.1954,1.25
,-8.2988,-1.01
,-7.8563,1.15
,-7.8763,-0.95
,-7.3298,1.1
,-7.659,-0.82
,-7.1151,0.83
,-7.4717,-1.14
,-7.0178,0.96
,-7.369,-1.03
,-6.8626,0.89
,-7.3551,-0.93
,-6.8697,0.91
,-7.353,-1.06
,-6.7436,0.94
,-7.3593,-0.93
,-6.8736,0.91
,-7.3364,-1.14
,-6.8731,0.96
,-7.4759,-0.88
,-7.0694,0.78
,-7.3656,-1.03
,-6.9991,0.89
,-7.4198,-0.95
,-7.1107,1.04
,-7.7316,-0.98
,-7.2712,0.99
,-7.8079,-0.9
,-7.4127,1.04
,-7.8074,-1.09
,-7.031,0.89
,-7.4054,-1.09
,-6.8539,0.81
,-7.1307,-1.01
,-6.7168,0.99
,-7.2854,-0.98
,-6.6818,1.07
,-7.5527,-1.01
,-7.0491,0.86
,-7.6837,-0.95
,-7.2664,0.91
,-7.5253,-0.88
,-7.097,0.94
,-7.5035,-0.88
,-6.9839,0.86
,-7.2701,-0.9
,-6.8741,0.99
,-7.248,-1.09
,-6.8676,0.86
,-7.1144,-0.95
,-5.9712,0.96
,-6.6524,-0.82
,-5.6518,0.83
,-5.9443,-1.03
,-5.3432,0.96
,-6.0609,-0.88
,-5.3763,1.1
,-6.3911,-0.98
,-5.6605,1.12
,-6.775,-0.93
,-6.0548,0.89
,-6.6805,-1.09
,-6.0133,1.15
,-6.7315,-0.85
,-5.6686,1.02
,-6.6068,-0.88
,-5.2887,1.15
,-6.2693,-1.09
,-5.0787,0.78
,-5.6526,-0.9
,-4.8143,0.94
,-5.6094,-1.01
,-4.5917,0.75
,-5.44,-0.9
,-4.3376,0.91
,-4.8427,-1.01
,-4.1771,0.91
,-4.6772,-1.06
,-3.8319,0.96
,-4.3,-1.11
,-3.7193,0.89
,-3.8748,-1.01
,-3.3586,0.99
,-3.743,-0.95
,-3.1726,0.83
,-3.5078,-0.93
,-2.9237,1.23
,-3.3244,-0.88
,-2.8226,0.91
,-3.3373,-0.85
,-2.6335,1.12
,-3.3162,-0.95
,-2.6053,0.86
,-3.031,-0.98
,-2.5185,1.12
,-3.011,-0.9
,-2.5564,0.83
,-3.08,-0.95
,-2.5256,0.75
,-3.0008,-1.03
,-2.524,0.94
,-2.7671,-0.9
,-2.4198,0.99
,-2.7771,-0.93
,-2.3556,0.89
,-2.729,-1.01
,-2.0786,0.99
,-2.6761,-1.01
,-1.9844,0.86
,-2.4011,-0.9
,-1.8418,0.75
,-2.2307,-0.93
,-1.6547,0.89
,-1.9673,-1.06
,-1.2469,0.96
,-1.6458,-1.19
,-1.0888,0.96
,-1.6039,-0.9
,-0.9657,0.89
,-1.2756,-0.95
,-0.8002,0.96
,-1.0817,-1.01
,-0.6334,0.96
,-1.0088,-0.85
,-0.4426,1.07
,-0.782,-0.9
,-0.2463,1.07
,-0.4455,-1.09
,0.0857,0.86
,-0.2563,-0.95
,0.9568,0.89
,0.8487,-0.95
,2.2029,1.15
,2.1213,-0.93
,3.0659,0.94
,2.7162,-0.85
,3.6284,0.94
,3.3237,-1.14
,4.0385,1.02
,3.9722,-0.93
,4.6445,0.81
,4.5945,-1.11
,5.0275,0.86
,4.8023,-1.01
,5.272,0.83
,4.5824,-0.9
,5.0641,0.83
,4.0772,-0.88
,4.7547,0.81
,4.0046,-0.95
,4.445,0.94
,3.9749,-0.88
,4.7255,1.07
,4.4316,-0.9
,4.9365,0.86
,4.8071,-1.06
,5.3451,0.91
,4.8168,-1.14
,5.3588,0.94
,4.8207,-1.01
,5.2762,0.99
,4.8007,-1.03
,5.1399,0.81
,4.7715,-0.95
,5.1415,0.83
,4.6163,-1.19
,5.2367,0.86
,4.9202,-0.95
,5.3554,0.94
,5.0107,-0.9
,5.3585,0.96
,4.9881,-0.93
,5.3138,0.89
,4.9512,-1.09
,5.3464,1.04
,4.9449,-1.06
,5.3909,0.91
,4.7037,-0.82
,5.3919,0.91
,4.2332,-1.03
,4.8389,0.78
,4.4677,-0.9
,5.3806,1.1
,5.2359,-0.93
,6.5262,1.02
,6.4101,-0.77
,7.0787,1.02
,6.7611,-0.93
,7.1318,0.99
,6.7067,-0.93
,7.0711,0.89
,6.7143,-0.98
,7.427,0.81
,7.2723,-0.88
,8.1193,1.04
,8.014,-1.14
,8.903,1.04
,8.5828,-0.93
,9.0548,0.96
,8.3084,-0.93
,8.8433,0.86
,7.8909,-1.03
,8.4071,0.89
,7.4373,-0.93
,7.9364,1.23
,7.0971,-0.95
,7.5954,0.94
,6.9732,-0.82
,7.5349,1.04
,7.0234,-1.17
,7.3881,0.94
,6.93,-0.95
,7.346,0.94
,6.8435,-1.09
,7.3544,0.78
,6.9332,-1.01
,7.3297,1.02
,6.9537,-0.95
,7.3355,0.73
,6.9,-0.93
