Date,U1,U3,Aux1
,-0.98281,2.02714,0
,-1.04377,1.79508,0
,-0.97132,1.91411,0
,-1.02262,1.74724,0
,-0.93625,1.86091,0
,-1.01189,1.72925,0
,-0.93621,1.80439,0
,-0.99839,1.73209,0
,-0.92101,1.81418,0
,-0.99492,1.73335,0
,-0.93636,1.84559,0
,-1.0197,1.80534,0
,-0.93964,1.88869,0
,-1.00723,1.80755,0
,-0.93644,1.88411,0
,-1.0171,1.75419,0
,-0.92662,1.83833,0
,-1.00262,1.77392,0
,-0.92109,1.95136,0
,-1.07447,1.928,0
,-0.93814,2.14506,0
,-1.11247,1.97757,0
,-0.99208,2.16164,0
,-1.14222,1.65079,0
,-1.01039,1.99809,0
,-1.14273,1.61811,0
,-1.00518,1.89122,0
,-1.12293,1.53113,0
,-1.01465,1.79744,0
,-1.12612,1.52766,0
,-0.9703,1.69152,0
,-1.05869,1.64132,0
,-0.94611,1.90653,0
,-1.0055,1.76966,0
,-0.89442,2.02461,0
,-0.96087,1.8347,0
,-0.83492,2.03803,0
,-0.91324,1.83028,0
,-0.81815,2.02066,0
,-0.85354,1.75356,0
,-0.7487,1.94252,0
,-0.81061,1.72656,0
,-0.71078,1.90085,0
,-0.79159,1.60201,0
,-0.6465,1.91521,0
,-0.73793,1.42836,0
,-0.59433,1.8197,0
,-0.71303,1.3188,0
,-0.53621,1.70415,0
,-0.66745,1.39237,0
,-0.54537,1.66216,0
,-0.73134,1.50571,0
,-0.56888,1.65995,0
,-0.73899,1.54107,0
,-0.59441,1.83028,0
,-0.73572,1.63137,0
,-0.59919,1.92705,0
,-0.6873,1.78892,0
,-0.58096,1.99446,0
,-0.63557,1.62237,0
,-0.54647,1.90653,0
,-0.63127,1.48109,0
,-0.47627,1.71315,0
,-0.55042,1.41194,0
,-0.46404,1.5979,0
,-0.55598,1.36253,0
,-0.47458,1.58622,0
,-0.5411,1.27539,0
,-0.43851,1.47714,0
,-0.49383,1.20025,0
,-0.39941,1.38542,0
,-0.43899,1.10616,0
,-0.36405,1.3158,0
,-0.41073,0.98839,0
,-0.33402,1.23387,0
,-0.40414,0.86084,0
,-0.30265,1.10711,0
,-0.40395,0.75254,0
,-0.30988,0.96787,0
,-0.40213,0.70045,0
,-0.30688,0.90867,0
,-0.40813,0.60257,0
,-0.32897,0.83858,0
,-0.41365,0.57921,0
,-0.32396,0.79643,0
,-0.38654,0.6242,0
,-0.32163,0.7838,0
,-0.38864,0.61662,0
,-0.29307,0.74513,0
,-0.36007,0.63225,0
,-0.25526,0.7868,0
,-0.31832,0.66967,0
,-0.2293,0.82153,0
,-0.28727,0.71118,0
,-0.19612,0.834,0
,-0.26193,0.72081,0
,-0.17055,0.8891,0
,-0.23384,0.74876,0
,-0.16056,0.88089,0
,-0.21794,0.76944,0
,-0.14352,0.91467,0
,-0.20527,0.73565,0
,-0.13172,0.9022,0
,-0.19004,0.67172,0
,-0.09782,0.83495,0
,-0.17074,0.60652,0
,-0.08839,0.81869,0
,-0.15267,0.54353,0
,-0.05896,0.70866,0
,-0.11546,0.44834,0
,-0.04069,0.6343,0
,-0.09672,0.39861,0
,-0.03015,0.56058,0
,-0.07963,0.33863,0
,0.00457,0.51843,0
,-0.09305,0.28906,0
,0.01195,0.44361,0
,-0.05584,0.25354,0
,0.03926,0.38677,0
,-0.02526,0.20539,0
,0.04135,0.35899,0
,-0.01831,0.1083,0
,0.06782,0.30153,0
,0.02414,0.06821,0
,0.16371,0.23586,0
,0.15455,-0.23726,0
,0.33279,0.14935,0
,0.27131,-0.70817,0
,0.41116,-0.221,0
,0.33378,-1.04394,0
,0.47303,-0.63318,0
,0.382,-1.24996,0
,0.54946,-0.93344,0
,0.45144,-1.309,0
,0.6751,-1.00037,0
,0.50199,-1.49859,0
,0.68393,-1.08167,0
,0.49556,-1.50443,0
,0.66129,-1.17986,0
,0.46158,-1.4225,0
,0.63635,-1.20891,0
,0.45799,-1.35178,0
,0.55364,-1.12603,0
,0.43787,-1.29858,0
,0.56244,-1.02768,0
,0.45196,-1.27064,0
,0.56307,-1.02247,0
,0.48692,-1.23843,0
,0.60644,-1.05673,0
,0.50187,-1.35809,0
,0.61263,-1.17402,0
,0.51162,-1.44508,0
,0.63102,-1.16881,0
,0.51091,-1.46165,0
,0.6251,-1.18113,0
,0.49777,-1.33331,0
,0.6124,-1.1445,0
,0.50278,-1.26779,0
,0.59933,-1.14766,0
,0.49698,-1.38146,0
,0.59156,-1.18934,0
,0.46995,-1.51643,0
,0.66716,-1.19976,0
,0.49678,-1.53948,0
,0.65505,-1.23559,0
,0.51817,-1.52574,0
,0.62617,-1.3401,0
,0.52196,-1.48801,0
,0.61772,-1.33236,0
,0.50625,-1.50301,0
,0.62822,-1.30647,0
,0.49595,-1.56316,0
,0.60612,-1.32242,0
,0.36073,-1.46576,0
,0.5628,-1.20386,0
,0.35138,-1.26558,0
,0.55869,-0.99769,0
,0.48629,-1.4746,0
,0.78594,-1.14971,0
,0.73535,-1.91725,0
,1.01117,-1.42219,0
,0.94606,-2.11536,0
,1.06432,-1.85789,0
,0.98098,-2.14094,0
,1.0509,-1.98734,0
,0.96113,-2.08032,0
,1.05382,-1.95592,0
,0.97865,-2.1763,0
,1.12536,-1.97423,0
,1.08065,-2.38405,0
,1.2306,-2.14788,0
,1.18037,-2.42257,0
,1.26796,-2.27181,0
,1.17224,-2.34064,0
,1.26141,-2.13289,0
,1.12587,-2.18909,0
,1.216,-2.02475,0
,1.04731,-2.06958,0
,1.1621,-1.96161,0
,0.98051,-2.03122,0
,1.08866,-1.9002,0
,0.9708,-1.94424,0
,1.05173,-1.79427,0
,0.95218,-1.84747,0
,1.04313,-1.76001,0
,0.94866,-1.81842,0
,1.0436,-1.73176,0
,0.94531,-1.79332,0
,1.00805,-1.72576,0
,0.93592,-1.82458,0
,1.01807,-1.72402,0
,0.94914,-1.84052,0
,1.02439,-1.75986,0
,0.96437,-1.91819,0
,1.04321,-1.78354,0
,0.9609,-1.90414,0
,1.02368,-1.81732,0
,0.9594,-1.9736,0
,1.04045,-1.83642,0
,0.96567,-2.14725,0
,1.06992,-1.92688,0
,1.01421,-2.17251,0
,1.073,-2.01465,0
,0.94661,-2.08553,0
,1.07059,-1.85252,0
,0.88802,-2.13494,0
,1.01874,-1.99918,0
,0.85945,-2.09516,0
,0.94247,-1.97771,0
,0.84248,-2.09279,0
,0.94906,-1.88188,0
,0.89358,-1.93019,0
,1.02821,-1.74217,0
,0.965,-1.88078,0
,1.07856,-1.68313,0
,0.97447,-1.78006,0
,1.05789,-1.58557,0
,0.97755,-1.62662,0
,1.04818,-1.50033,0
,0.94057,-1.56789,0
,1.05497,-1.31105,0
,0.89954,-1.52669,0
,1.06874,-1.18255,0
,0.83593,-1.4776,0
,1.07679,-1.13566,0
,0.80985,-1.32052,0
